CHRYSLER;68377850AA;16400;1
CSF;55038003AG;4800;0
WAGNER;ZX1405;2900;1
MONROE;73125;5350;0
BMW;51357444075;4000;5
TRAKMOTIVE;CH8253;5900;0
POWER STOP;171298;2700;4
CHRYSLER;68194317AC;6600;1
CSF;10884;5300;1
WAGNER;ZX1270A;2550;1
NGK;LZFR5CI11;650;7
CSF;68244087AA;8300;0
BMW;41007492363;17900;0
CHRYSLER;5114179AB;3100;3
BMW;51337430937;4800;5
CHRYSLER;68353710AC;2900;0
BMW;51357444659;4200;5
MOOG;RK623638;5400;3
CHRYSLER;68596317AB;11300;0
STANDARD;VVT750;2000;2
CSF;3819;8000;0
CHRYSLER;68249136AA;1750;6
MOOG;EV801494;1580;2
TYC;3893;6300;0
POWER STOP;B986;1800;2
CHRYSLER;68029522AC;440;2
DORMAN;926235;3350;0
CHRYSLER;05149141AF;3650;0
STANDARD;VG283;300;1
CHRYSLER;68080819AC;5100;0
CHRYSLER;5047440AC;1120;2
ANCHOR;3298TAW;2100;1
MOOG;EV800987;1376;2
MOOG;513456;8800;0
CHRYSLER;68079589AA;880;0
FEL-PRO;61438;400;4
TRAKMOTIVE;CH8352;9250;1
CHRYSLER;5047788AD;2500;2
TIMKEN;HA590551;5550;0
TRAKMOTIVE;68291656AA;8600;0
DORMAN;9023036;900;2
CHRYSLER;5149141AF;3650;0
CHRYSLER;68217514AB;250;40
ANCHOR;3378;6000;0
CHRYSLER;5184296AH;800;0
CHRYSLER;68244087AA;8300;0
STANDARD;CP646;1700;2
CHRYSLER;68299131AH;8000;5
MOOG;K750573;1950;2
CHRYSLER;68349631AA;13500;0
SKP;SK121227;1200;1
CHRYSLER;68029646AE;1000;2
MAHLE;VS50657;3800;5
CHRYSLER;68093232AA;650;8
CHRYSLER;5047861AA;5400;6
CHRYSLER;68088017AF;2900;1
CHRYSLER;68433783AE;33000;5
CHRYSLER;68110244AE;4500;0
CHRYSLER;68235291AB;1400;0
CHRYSLER;5047389AC;7500;4
DORMAN;68252670AP;9000;0
WAGNER;ZX1629A;2650;2
NGK;49132;1800;3
CHRYSLER;68299145AE;14500;0
CHRYSLER;68365931AA;8100;8
CHRYSLER;5047861AD;5400;6
CHRYSLER;6509564AA;330;10
TRAKMOTIVE;CH8363;9350;0
MOOG;ES800973;2800;2
TYC;19117;6200;0
ELRING;424841;400;0
TRAKMOTIVE;CH8374;10500;0
TRAKMOTIVE;CH8298;8500;0
CHRYSLER;4893806AB;350;4
DORMAN;911481;1600;2
CHRYSLER;68252670AP;13500;0
GSP;NCV82002;7600;1
CHRYSLER;56029398;800;0
CHRYSLER;4893445AA;240;0
CHRYSLER;5184332AA;390;0
BMW;37106896439;10000;5
CHRYSLER;5184778AB;610;22
CHRYSLER;68440808AA;3150;0
NGK;97408;560;0
